,년도 및 분기,회사명,지원 직종,지원 유형,학력,과,학점,토익 점수,토스 레벨,오픽 레벨,인턴 경험,자격증 개수,수상내역,자원봉사,해외 경험
2100,2016년 상반기,롯데IT테크(주),웹개발자,인턴,초대졸,컴퓨터정보,4.1,,,,2.0,1.0,,2.0,
2101,2015년 하반기,롯데IT테크(주),기술·전문강사,인턴,서울4년,컴퓨터과학부,3.5,775.0,,IL,,1.0,,1.0,
2102,2016년 상반기,롯데IT테크(주),기술·전문강사,신입,서울4년,컴퓨터과학부,3.6,775.0,,IL,,3.0,,1.0,
2103,2016년 상반기,롯데IT테크(주),기술·전문강사,신입,지방4년,컴퓨터학부,3.7,840.0,Level7,IH,2.0,,1.0,,1.0
2104,2015년 상반기,롯데IT테크(주),시스템엔지니어,신입,서울4년,전자공학과,3.1,960.0,Level6,,,,,,
2105,2015년 하반기,롯데IT테크(주),앱개발자,신입,수도권4년,컴퓨터공학부,3.7,825.0,,IH,1.0,1.0,,,
2106,2013년 하반기,롯데IT테크(주),웹개발자,신입,서울4년,컴퓨터과학,3.4,820.0,Level6,,,1.0,,,
2107,2015년 상반기,롯데IT테크(주),앱개발자,신입,서울4년,컴퓨터공학과,3.4,790.0,Level6,,1.0,3.0,1.0,,
2108,2015년 하반기,롯데IT테크(주),앱개발자,인턴,서울4년,컴퓨터공학,3.5,,,,1.0,1.0,,,1.0
2109,2015년 하반기,롯데IT테크(주),앱개발자,신입,지방4년,컴퓨터학부,3.6,765.0,,,1.0,,,1.0,
2110,2015년 하반기,롯데IT테크(주),앱개발자,인턴,서울4년,컴퓨터교육,3.5,910.0,,,,1.0,,1.0,
2111,2015년 하반기,롯데IT테크(주),웹개발자,인턴,수도권4년,컴퓨터공학과,3.1,705.0,,,1.0,1.0,,,
2112,2015년 하반기,롯데IT테크(주),앱개발자,신입,수도권4년,컴퓨터공학부,3.5,780.0,Level4,,,,,,
2113,2015년 하반기,롯데IT테크(주),기술·전문강사,신입,서울4년,컴퓨터공학,3.5,875.0,,,1.0,,,,
2114,2015년 하반기,롯데IT테크(주),네트워크엔지니어,신입,지방4년,컴공,4.2,800.0,Level6,,,,,,
2115,2015년 하반기,롯데IT테크(주),시스템엔지니어,신입,서울4년,컴퓨터공학부,3.7,765.0,Level5,,1.0,1.0,,,
2116,2015년 하반기,롯데IT테크(주),시스템엔지니어,신입,수도권4년,컴퓨터공학,4.1,630.0,,,,3.0,1.0,3.0,
2117,2015년 상반기,롯데IT테크(주),앱개발자,신입,서울4년,컴퓨터학부,3.7,850.0,,,1.0,1.0,,,
2118,2015년 상반기,롯데IT테크(주),앱개발자,신입,서울4년,컴퓨터학부,3.6,805.0,Level5,,,1.0,,,
2119,2015년 하반기,롯데IT테크(주),웹개발자,인턴,초대졸,컴퓨터정보,4.1,,,,1.0,1.0,,2.0,
2120,2022년 상반기,롯데건설(주),현장관리자,신입,서울4년,건축공학과,3.41,955.0,,IH,,2.0,,,
2121,2022년 상반기,롯데건설(주),해외영업,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2122,2018년 하반기,롯데건설(주),전기기사,신입,대학원,안전공학과,4.5,,Level5,,,1.0,,,
2123,2017년 하반기,롯데건설(주),건축기사,신입,지방4년,건축공학과,3.75,810.0,,,,2.0,,,
2124,2017년 하반기,롯데건설(주),건축기사,인턴,지방4년,전기공학과,3.48,,,IH,,1.0,,,1.0
2125,2016년 하반기,롯데건설(주),경영·비즈니스기획,신입,서울4년,전자재료공학과,3.9,855.0,,IH,,,,,
2126,2015년 상반기,롯데건설(주),건축기사,신입,서울4년,건축학과,3.7,850.0,Level6,,1.0,3.0,,1.0,
2127,2016년 상반기,롯데건설(주),시설관리자,인턴,지방4년,안전공학과,3.4,,,IH,,3.0,,,
2128,2015년 상반기,롯데건설(주),현장관리자,인턴,지방4년,기계공학과,4.0,980.0,,,1.0,1.0,,,1.0
2129,2015년 하반기,롯데건설(주),인사담당자,인턴,서울4년,정책학과,3.8,910.0,,,,1.0,,1.0,
2130,2021년 상반기,롯데글로벌로지스(주),자재관리자,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2131,2015년 하반기,롯데글로벌로지스(주),경영·비즈니스기획,인턴,해외대학,Business Administration,3.0,,,AL,2.0,,,,1.0
2132,2016년 하반기,롯데네슬레코리아,제품영업,신입,서울4년,영어통번역학과,3.66,900.0,Level7,,1.0,3.0,,1.0,1.0
2133,2022년 상반기,롯데렌탈(주),영업지원,신입,대졸4년,사회계열,3.25,,,IH,1.0,3.0,2.0,1.0,
2134,2022년 상반기,롯데렌탈(주),영업지원,인턴,대학원,수학과,3.27,,,,,2.0,,,
2135,2022년 상반기,롯데렌탈(주),영업지원,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2136,2017년 하반기,롯데로지스틱스투자(주),자재관리자,신입,서울4년,국제물류학과,3.75,895.0,,IM2,2.0,2.0,2.0,,
2137,2017년 하반기,롯데로지스틱스투자(주),인사담당자,신입,서울4년,사법학전공,3.64,915.0,Level6,,1.0,2.0,,,
2138,2016년 상반기,롯데로지스틱스투자(주),자재관리자,신입,서울4년,도시공학과/국제물류학과,4.2,870.0,Level6,,,2.0,,,
2139,2022년 상반기,롯데마트,영업지원,신입,서울4년,유통산업전공,3.89,,Level7,,1.0,1.0,,1.0,
2140,2016년 하반기,롯데마트,영업지원,인턴,서울4년,경영,4.0,980.0,,AL,,,,,1.0
2141,2015년 상반기,롯데마트,자재관리자,신입,서울4년,식품자원경제학과,3.74,940.0,Level6,,,,,,
2142,2016년 상반기,롯데마트,영업지원,인턴,서울4년,"무역학과,경영학과(복수전공)",4.1,900.0,Level6,,2.0,1.0,,3.0,
2143,2016년 상반기,롯데마트,자재관리자,인턴,고졸,,,,,,,,,,
2144,2013년 하반기,롯데마트,자재관리자,인턴,수도권4년,말레이인도네시아어통번역학과,3.7,845.0,Level6,,2.0,1.0,,1.0,1.0
2145,2022년 상반기,롯데멤버스(주),인사담당자,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2146,2016년 상반기,롯데멤버스(주),컨설턴트,인턴,서울4년,응용통계,3.41,935.0,,,1.0,,,,
2147,2015년 하반기,롯데멤버스(주),설문·리서치,인턴,서울4년,응용통계학과,3.4,935.0,,,,,,,
2148,2015년 하반기,롯데멤버스(주),온라인마케터,신입,해외대학,통계학과,3.5,,,,1.0,1.0,,1.0,
2149,2022년 하반기,롯데물산(주),마케팅기획,신입,대학원,컨벤션호텔경영학과,4.26,800.0,,,2.0,8.0,1.0,1.0,
2150,2022년 상반기,롯데물산(주),인사담당자,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2151,2022년 상반기,롯데물산(주),경영·비즈니스기획,신입,서울4년,일어일문학과,3.99,930.0,,AL,,1.0,6.0,1.0,1.0
2152,2021년 상반기,롯데상사(주),해외영업,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2153,2016년 상반기,롯데손해보험(주),사무담당자,신입,고졸,,,,,,,,,,
2154,2022년 상반기,롯데쇼핑(주),MD,신입,대졸4년,사회계열,3.25,,,IH,1.0,3.0,2.0,1.0,
