,년도 및 분기,회사명,지원 직종,지원 유형,학력,과,학점,토익 점수,토스 레벨,오픽 레벨,인턴 경험,자격증 개수,수상내역,자원봉사,해외 경험
0,2016년 하반기,(사)대한산업안전협회,컨설턴트,신입,지방4년,기계설계,3.83,875.0,,IH,,4.0,,,
1,2023년 상반기,(사)전국경제인연합회,경영·비즈니스기획,신입,서울4년,영어영문학,3.92,965.0,,IH,,1.0,,1.0,1.0
2,2015년 상반기,(사)한국지방재정공제회,경영·비즈니스기획,신입,서울4년,언론홍보학과,3.3,,Level6,,,2.0,,,
3,2021년 하반기,(재)경기문화재단,경영·비즈니스기획,신입,서울4년,역사콘텐츠학과,3.92,810.0,,,,2.0,,,
4,2020년 하반기,(재)경남창조경제혁신센터,경영·비즈니스기획,신입,대학원,국제의료경영학과,2.71,715.0,,IM1,,2.0,3.0,2.0,1.0
5,2015년 상반기,(재)동그라미재단,경영·비즈니스기획,인턴,서울4년,국어국문학,4.0,,,,,1.0,,3.0,
6,2020년 하반기,(재)서울경제진흥원,경영·비즈니스기획,신입,대학원,국제의료경영학과,2.71,715.0,,IM1,,2.0,3.0,2.0,1.0
7,2018년 하반기,(재)서울경제진흥원,경영·비즈니스기획,신입,대졸4년,무역학과,3.69,930.0,Level7,IM2,1.0,4.0,1.0,,1.0
8,2016년 하반기,(재)서울경제진흥원,경영·비즈니스기획,신입,서울4년,철학과/중어과,4.1,920.0,Level6,,,1.0,1.0,2.0,
9,2016년 하반기,(재)서울경제진흥원,사무담당자,신입,지방4년,무역학과,4.1,770.0,Level6,,,1.0,,1.0,
10,2019년 상반기,(재)서울관광재단,사무보조,인턴,초대졸,관광영어과(3년제),3.05,655.0,,,1.0,2.0,,,1.0
11,2020년 하반기,(재)서울디자인재단,사무담당자,신입,서울4년,경영학과,3.19,,,,,3.0,,,
12,2016년 하반기,(재)서울디자인재단,건축기사,인턴,대졸4년,건축설계전공,3.35,805.0,,,2.0,,2.0,1.0,1.0
13,2016년 하반기,(재)서울디자인재단,경영·비즈니스기획,신입,서울4년,동화미디어콘텐츠,4.13,895.0,Level6,,1.0,4.0,,1.0,1.0
14,2019년 상반기,(재)에너지경제연구원,사무담당자,신입,지방4년,경영학과,3.7,825.0,,,,1.0,,,
15,2021년 하반기,(재)한국과학창의재단,앱개발자,인턴,대졸4년,인문학부,3.5,910.0,,,1.0,1.0,,,
16,2015년 상반기,(재)한국문학번역원,웹퍼블리셔,신입,서울4년,경영학과,3.7,,,,,3.0,,,
17,2021년 상반기,(재)한국에너지기술연구원,R&D·연구원,인턴,대졸4년,신소재공학과,3.9,850.0,,IM2,,3.0,,,
18,2017년 상반기,(재)한국에너지기술연구원,앱개발자,신입,대학원,전자컴퓨터통신공,3.81,865.0,Level5,IM2,1.0,1.0,,,
19,2023년 상반기,(재)한국에너지정보문화재단,사무담당자,신입,수도권4년,경제학과,4.13,455.0,,,,4.0,,,
20,2023년 상반기,(재)한국연구재단,R&D·연구원,인턴,서울4년,건축사회환경공학부,3.36,870.0,,IM1,,3.0,3.0,,
21,2020년 상반기,(재)한국연구재단,사무담당자,신입,지방4년,행정학과,4.0,800.0,Level5,,,2.0,,,
22,2019년 상반기,(재)한국연구재단,경영·비즈니스기획,신입,지방4년,화학생명공학과,3.0,745.0,,,,1.0,,,
23,2016년 상반기,(재)한국연구재단,경영·비즈니스기획,신입,고졸,,,,,,,,,,
24,2018년 하반기,(재)한국우편사업진흥원,사무담당자,신입,대졸4년,무역학과,3.69,910.0,Level6,IM2,1.0,3.0,1.0,,1.0
25,2023년 상반기,(재)한국원자력연구원,R&D·연구원,신입,대졸4년,신소재공학과,3.9,850.0,,IM2,1.0,3.0,,,
26,2018년 하반기,(재)한국원자력연구원,화학엔지니어,신입,대학원,반도체&디스플레이과학경영학과,3.95,760.0,,,1.0,2.0,,,1.0
27,2016년 하반기,(재)한국원자력연구원,화학엔지니어,인턴,대학원,화학공학,3.5,800.0,Level6,,,,,,
28,2020년 상반기,(재)한국장애인개발원,사무담당자,인턴,지방4년,행정학과,4.0,800.0,Level5,,,2.0,,,
29,2019년 상반기,(재)한국장애인개발원,사회복지사,신입,지방4년,사회복지학과,3.46,,,,,,,4.0,
30,2023년 상반기,(재)한국장학재단,경영지원,신입,서울4년,경영학과,3.6,855.0,Level5,,,2.0,,,
31,2020년 상반기,(재)한국장학재단,사무담당자,신입,지방4년,행정학과,4.0,800.0,Level5,,,2.0,,,
32,2018년 상반기,(재)한국장학재단,사무담당자,인턴,지방4년,경영관리전공,2.82,775.0,,IH,,3.0,1.0,2.0,
33,2016년 하반기,(재)한국장학재단,사무담당자,인턴,지방4년,국제통상학부,4.2,965.0,,,2.0,1.0,,1.0,1.0
34,2016년 상반기,(재)한국장학재단,사무담당자,신입,지방4년,경제통상학부,3.9,930.0,Level7,,1.0,3.0,,1.0,1.0
35,2016년 상반기,(재)한국장학재단,시스템엔지니어,인턴,서울4년,컴퓨터학부,3.4,845.0,Level6,,1.0,5.0,3.0,1.0,1.0
36,2023년 상반기,(재)한국표준과학연구원,R&D·연구원,인턴,지방4년,환경공학과,3.85,785.0,,,,4.0,,,
37,2020년 상반기,(재)한국표준과학연구원,사무담당자,신입,수도권4년,경영학과 마케팅경영전공,3.57,,Level6,,1.0,3.0,1.0,1.0,
38,2016년 상반기,(주)CJ텔레닉스,인바운드상담원,신입,고졸,,,,,,,,,,
39,2022년 하반기,(주)DB하이텍,생산·공정관리자,인턴,서울4년,전자정보통신공학과,4.07,,IH,,,4.0,1.0,1.0,
40,2017년 하반기,(주)DB하이텍,반도체엔지니어,신입,대학원,신소재 공학,3.67,,,IM2,,,,,
41,2017년 하반기,(주)DB하이텍,반도체엔지니어,신입,서울4년,화학공학,4.2,,,IH,,2.0,,,
42,2016년 상반기,(주)DB하이텍,재무담당자,신입,서울4년,국어국문학,3.67,925.0,,,1.0,,1.0,,
43,2016년 하반기,(주)DB하이텍,품질관리자,신입,서울4년,전기공학부,3.24,710.0,,,,3.0,,,
44,2015년 상반기,(주)DB하이텍,품질관리자,신입,서울4년,전자공학과,3.1,960.0,Level6,,,,,,
45,2017년 하반기,(주)GS넷비전,회계담당자,인턴,수도권4년,회계학,4.17,815.0,,,1.0,4.0,,,
46,2014년 상반기,(주)GS엔텍,품질관리자,신입,지방4년,공업화학과,3.3,700.0,,IL,,1.0,,1.0,
47,2021년 하반기,(주)IBK시스템,웹개발자,신입,지방4년,산업공학과,3.9,,,,1.0,2.0,,,
48,2017년 상반기,(주)IBK시스템,앱개발자,신입,서울4년,정보통신전자공학부,3.85,770.0,Level5,,,5.0,2.0,,
49,2015년 하반기,(주)IBK시스템,앱개발자,신입,수도권4년,컴퓨터공학,3.82,735.0,,,1.0,2.0,2.0,,
50,2015년 하반기,(주)IBK시스템,기술·전문강사,신입,수도권4년,컴퓨터공학과,3.7,735.0,,IH,1.0,4.0,,1.0,1.0
51,2015년 하반기,(주)IBK시스템,시스템엔지니어,신입,수도권4년,컴퓨터공학,4.1,630.0,,,,3.0,1.0,3.0,
52,2016년 상반기,(주)IBK시스템,앱개발자,신입,지방4년,멀티미디어학과,4.0,,,,,1.0,1.0,1.0,
53,2023년 상반기,(주)JYP엔터테인먼트,인사담당자,신입,서울4년,경영학과,3.5,,IH,,1.0,4.0,,2.0,
54,2021년 상반기,(주)JYP엔터테인먼트,재무담당자,신입,서울4년,회계학과,3.2,900.0,,,1.0,4.0,,1.0,
55,2020년 상반기,(주)JYP엔터테인먼트,MD,신입,서울4년,의상학과,3.4,930.0,,AL,1.0,1.0,1.0,1.0,
56,2018년 상반기,(주)JYP엔터테인먼트,사무담당자,신입,서울4년,법,3.59,895.0,,,1.0,1.0,,,
57,2020년 하반기,(주)KB국민카드,온라인마케터,신입,서울4년,경영학부,3.5,,Level6,,,14.0,11.0,1.0,1.0
58,2019년 하반기,(주)KB국민카드,시스템엔지니어,신입,서울4년,컴퓨터공학부 컴퓨터공학전공,3.07,,,,1.0,,,,1.0
59,2017년 상반기,(주)KB국민카드,인바운드상담원,신입,지방4년,컴퓨터공학,2.5,,,,,1.0,,1.0,
60,2015년 하반기,(주)KB국민카드,금융영업,신입,서울4년,경영학과,3.8,905.0,,,,5.0,,3.0,2.0
61,2019년 하반기,(주)KB손해사정,심사,신입,수도권4년,의료경영학과,3.32,840.0,,,,3.0,,,
62,2019년 상반기,(주)KB손해사정,사무담당자,신입,지방4년,경영학과,3.7,825.0,,,,1.0,,,
63,2016년 하반기,(주)KB손해사정,심사,신입,대학원,금융보험학과,3.55,,,,,1.0,,,
64,2015년 하반기,(주)KB손해사정,심사,신입,지방4년,식품생명공학과,3.7,,,,,2.0,,,
65,2015년 하반기,(주)KB손해사정,금융영업,신입,지방4년,경영학부,3.9,870.0,,,,5.0,,,1.0
66,2016년 상반기,(주)LG생명과학,제품영업,인턴,대졸4년,행정학부,3.9,960.0,,,2.0,,,1.0,2.0
67,2014년 하반기,(주)LG생명과학,영업지원,인턴,지방4년,화학공학과,3.5,720.0,Level5,,,1.0,,,
68,2015년 상반기,(주)LG생명과학,제품영업,신입,수도권4년,통계학,3.4,880.0,Level6,,,1.0,,,
69,2015년 하반기,(주)LG생명과학,영업지원,신입,지방4년,무역학,3.8,840.0,,IH,,,,,
70,2015년 하반기,(주)LG생명과학,시설관리자,신입,서울4년,환경공학과,3.6,750.0,,,1.0,4.0,2.0,,
71,2016년 하반기,(주)LG생활건강,온라인마케터,신입,해외대학,신문학,3.7,800.0,Level6,,1.0,1.0,1.0,1.0,1.0
72,2015년 상반기,(주)LG생활건강,자재관리자,인턴,수도권4년,국제통상학과,4.0,930.0,,,1.0,2.0,,,
73,2015년 상반기,(주)LG생활건강,화학엔지니어,신입,서울4년,전자전기공학부,2.8,780.0,,,1.0,,,1.0,
74,2015년 상반기,(주)LG생활건강,제품영업,신입,서울4년,호텔경영학과,3.8,875.0,Level6,,,2.0,,,
75,2015년 상반기,(주)LG생활건강,설계엔지니어,신입,서울4년,기계공학과,3.5,780.0,,,,1.0,,,
76,2016년 상반기,(주)LG생활건강,생산직종사자,신입,대졸4년,전기전자,3.0,860.0,Level6,,,,,,
77,2015년 상반기,(주)LG생활건강,품질관리자,인턴,수도권4년,신소재공학,3.3,835.0,Level6,,,2.0,,,
78,2015년 상반기,(주)LG생활건강,생산직종사자,신입,수도권4년,화학공학과,3.7,845.0,Level6,,1.0,,1.0,1.0,
79,2015년 상반기,(주)LG생활건강,생산직종사자,신입,서울4년,전자전기 공학부,4.0,720.0,Level6,,,2.0,,1.0,
80,2013년 상반기,(주)LG생활건강,제품디자이너,신입,서울4년,제품디자인,3.6,795.0,,,,,,2.0,
81,2015년 하반기,(주)LG생활건강,품질관리자,신입,수도권4년,화학공학,3.4,885.0,,,1.0,1.0,,1.0,
82,2015년 하반기,(주)LG생활건강,품질관리자,신입,초대졸,전기시스템과,3.8,,,,,3.0,,,
83,2015년 하반기,(주)LG생활건강,품질관리자,인턴,서울4년,전기생체공학부,3.5,735.0,Level6,,,2.0,,3.0,
84,2015년 하반기,(주)LG생활건강,품질관리자,신입,수도권4년,화학공학,3.7,950.0,Level6,,,,,,
85,2022년 하반기,(주)LG화학,R&D·연구원,신입,수도권4년,신소재 공학,3.65,,,IH,,,1.0,,1.0
86,2022년 하반기,(주)LG화학,품질관리자,신입,서울4년,생명과학부,4.05,,,IH,,,,,
87,2022년 하반기,(주)LG화학,품질관리자,신입,서울4년,특성화학부 시스템생명공학과,3.95,,,IM1,3.0,2.0,1.0,2.0,
88,2022년 하반기,(주)LG화학,자재관리자,신입,지방4년,산업공학과,3.3,,Level6,,2.0,3.0,1.0,,
89,2022년 상반기,(주)LG화학,경영·비즈니스기획,신입,서울4년,경영학과,4.32,985.0,,IH,1.0,2.0,2.0,1.0,1.0
90,2021년 하반기,(주)LG화학,품질관리자,신입,서울4년,화학공학과,3.79,850.0,,IH,,,,,
91,2021년 상반기,(주)LG화학,화학엔지니어,신입,대학원,고분자공학과,4.5,,Level6,,,,,,
92,2021년 상반기,(주)LG화학,생산직종사자,신입,수도권4년,전기공학과,3.4,865.0,Level6,,1.0,2.0,,,
93,2020년 하반기,(주)LG화학,R&D·연구원,신입,대학원,배터리 과학 및 기술,4.12,,,IH,,,,,
94,2020년 하반기,(주)LG화학,생산직종사자,신입,서울4년,기계공학부,3.8,870.0,,IH,,2.0,,,
95,2019년 상반기,(주)LG화학,품질관리자,신입,지방4년,화학공학부,3.5,820.0,Level5,IM1,1.0,3.0,1.0,,
96,2019년 하반기,(주)LG화학,화학엔지니어,신입,수도권4년,응용화학생명공학과,3.84,855.0,,IH,2.0,3.0,3.0,1.0,1.0
97,2019년 하반기,(주)LG화학,온라인마케터,신입,서울4년,경제학과,3.63,990.0,Level8,AL,2.0,,1.0,,1.0
98,2018년 하반기,(주)LG화학,화학엔지니어,신입,대학원,화학공학,3.21,,,,1.0,,,,
99,2019년 상반기,(주)LG화학,화학엔지니어,신입,서울4년,화학공학/고분자공학부,4.25,980.0,Level6,,1.0,3.0,,,
100,2018년 하반기,(주)LG화학,제품영업,신입,서울4년,지구환경과학과,3.45,,,IM2,,,,,
101,2018년 하반기,(주)LG화학,화학엔지니어,신입,지방4년,유기재료공학과,4.1,900.0,,,,,,,
102,2018년 하반기,(주)LG화학,품질관리자,인턴,수도권4년,화학공학,3.95,940.0,,AL,,,,,1.0
103,2018년 하반기,(주)LG화학,자재관리자,신입,수도권4년,산업경영공학과,3.77,,,IM2,,,,,
104,2018년 하반기,(주)LG화학,인사담당자,신입,서울4년,법,3.59,895.0,,,1.0,1.0,,,
105,2018년 하반기,(주)LG화학,품질관리자,인턴,서울4년,나노소재공학과,4.06,870.0,Level7,,,,,,
106,2018년 상반기,(주)LG화학,경영·비즈니스기획,신입,수도권4년,산업공학,3.8,,Level7,,,,,,
107,2018년 상반기,(주)LG화학,품질관리자,신입,서울4년,환경공학과,3.32,860.0,Level6,,,1.0,,,
108,2018년 상반기,(주)LG화학,품질관리자,신입,지방4년,기계공학과,3.94,905.0,Level6,,,1.0,,,1.0
109,2018년 상반기,(주)LG화학,품질관리자,신입,서울4년,전자IT미디어공학과,3.79,780.0,Level6,,1.0,,,,
110,2017년 하반기,(주)LG화학,품질관리자,인턴,수도권4년,화학공학,4.0,,,,,,,,
111,2018년 상반기,(주)LG화학,품질관리자,신입,수도권4년,화학공학과,3.59,885.0,,IM2,,,,,1.0
112,2018년 상반기,(주)LG화학,화학엔지니어,신입,서울4년,유기나노시스템공학과,3.77,955.0,Level6,,1.0,2.0,1.0,,1.0
113,2017년 하반기,(주)LG화학,화학엔지니어,신입,지방4년,환경공학과,4.17,820.0,,,2.0,2.0,1.0,1.0,
114,2017년 하반기,(주)LG화학,제품영업,인턴,서울4년,화학공학/고분자공학부,3.8,950.0,Level7,AL,,7.0,,,
115,2017년 하반기,(주)LG화학,반도체엔지니어,신입,대학원,신소재 공학,3.67,,,IM2,,,,,
116,2017년 하반기,(주)LG화학,재무담당자,신입,서울4년,회계세무학과,3.75,895.0,Level6,,2.0,1.0,,2.0,
117,2016년 하반기,(주)LG화학,품질관리자,신입,서울4년,응용통계학과,3.6,935.0,Level6,,,,,,
118,2015년 하반기,(주)LG화학,생산직종사자,신입,지방4년,전기전자,3.0,860.0,Level6,,,,,,
119,2017년 상반기,(주)NHN벅스,웹개발자,신입,대학원,컴퓨터공학,4.05,730.0,,IM2,,3.0,2.0,1.0,
120,2016년 상반기,(주)NHN벅스,앱개발자,신입,지방4년,컴퓨터공학,4.05,730.0,,IM2,,3.0,2.0,1.0,
121,2016년 상반기,(주)NH농협무역,사무담당자,신입,서울4년,중국문화/경영,3.6,960.0,Level6,,1.0,1.0,,,1.0
122,2016년 상반기,(주)NH농협무역,해외영업,신입,해외대학,Business Administration,3.0,,,AL,2.0,,,,1.0
123,2016년 하반기,(주)SBI저축은행,금융영업,신입,서울4년,경영학부,3.7,,,,,3.0,,4.0,
124,2021년 상반기,(주)SBS,제품디자이너,신입,서울4년,목조형가구학과,3.09,895.0,,,,,,,
125,2018년 하반기,(주)SBS,경영·비즈니스기획,신입,대졸4년,무역학과,3.69,930.0,Level7,IM2,1.0,4.0,1.0,,1.0
126,2018년 상반기,(주)SBS,경영·비즈니스기획,신입,지방4년,국제의료경영학과,2.71,715.0,,NL,,2.0,2.0,,
127,2016년 하반기,(주)SBS,경영·비즈니스기획,신입,서울4년,영어교육학과,3.9,980.0,,IH,,1.0,,,
128,2016년 상반기,(주)SBS,제품영업,신입,서울4년,체육학과/경영학과,3.7,775.0,,,1.0,1.0,3.0,1.0,1.0
129,2015년 하반기,(주)SBS,PD·감독,신입,지방4년,신문방송학과,3.9,,,,,,,2.0,
130,2023년 하반기,(주)SIMPAC,해외영업,신입,대졸4년,중어중문과,3.2,,AL,,4.0,,1.0,,1.0
131,2023년 상반기,(주)SIMPAC,재무담당자,신입,서울4년,공공인재학부,4.07,815.0,Level6,,1.0,1.0,,,
132,2021년 상반기,(주)SIMPAC,재무담당자,신입,초대졸,세무회계과,3.94,,,,,10.0,3.0,,
133,2020년 하반기,(주)SIMPAC,해외영업,신입,해외대학,영문학과,3.17,,,AL,,1.0,,,1.0
134,2015년 하반기,(주)SIMPAC,설계엔지니어,신입,지방4년,기계시스템공학과,4.1,815.0,Level5,,,1.0,3.0,,
135,2013년 하반기,(주)SIMPAC,회계담당자,신입,서울4년,경영학과,3.4,,,,,3.0,,3.0,
136,2020년 하반기,(주)STX,재무담당자,신입,서울4년,경영학부,3.5,,Level6,,,14.0,11.0,1.0,1.0
137,2022년 상반기,(주)가비아,백엔드개발자,신입,수도권4년,전자공학과,3.32,,,,,,1.0,,
138,2018년 하반기,(주)가비아,웹기획,인턴,서울4년,컴퓨터 소프트웨어,3.65,,,AL,,,,,1.0
139,2016년 상반기,(주)가비아,IT·기술영업,인턴,서울4년,법학,3.6,850.0,,IH,,1.0,,,
140,2023년 상반기,(주)강원랜드,경영지원,신입,서울4년,경영학과,3.6,855.0,Level5,,,2.0,,,
141,2015년 하반기,(주)강원랜드,영업지원,신입,서울4년,경영,3.3,900.0,,IH,,,,,1.0
142,2015년 하반기,(주)강원랜드,사무담당자,신입,서울4년,법학과,4.0,,,,,1.0,,,
143,2015년 하반기,(주)강원랜드,제품영업,신입,초대졸,호텔경영,3.7,,,,,,,,
144,2019년 하반기,(주)게임빌,인사담당자,신입,서울4년,영어영문학,3.92,980.0,Level7,,,1.0,,,1.0
145,2018년 하반기,(주)경농,경영·비즈니스기획,신입,서울4년,경제,3.19,865.0,,IH,1.0,1.0,1.0,,1.0
146,2022년 상반기,(주)경동나비엔,품질관리자,신입,지방4년,산업공학과,3.3,,Level6,,2.0,3.0,1.0,,
147,2022년 하반기,(주)경동나비엔,품질관리자,신입,지방4년,산업공학과,3.3,,Level6,,2.0,3.0,1.0,,
148,2022년 상반기,(주)경동나비엔,전기·전자엔지니어,신입,수도권4년,전자공학과,3.58,,,IM2,1.0,,,,
149,2021년 하반기,(주)경동나비엔,R&D·연구원,신입,대학원,기계공학과,4.19,,,IM1,,,,,
150,2021년 상반기,(주)경동나비엔,영업지원,신입,지방4년,기계시스템공학부,3.56,845.0,Level6,,,,,,1.0
151,2021년 상반기,(주)경동나비엔,제품영업,신입,수도권4년,중어중문학과,4.26,845.0,,,,4.0,,,
152,2018년 하반기,(주)경동나비엔,설치·수리기사,신입,수도권4년,기계공학과,4.1,805.0,,,,3.0,1.0,1.0,
153,2015년 하반기,(주)경동나비엔,인사담당자,신입,서울4년,정책학과,3.8,910.0,,,,1.0,,1.0,
154,2020년 하반기,(주)고영테크놀러지,반도체엔지니어,신입,대학원,물리학과,4.38,,Level6,,,1.0,1.0,,1.0
155,2017년 하반기,(주)고영테크놀러지,품질관리자,신입,수도권4년,전자시스템공학과,3.11,,,IM1,1.0,4.0,,,
156,2017년 하반기,(주)고영테크놀러지,시스템엔지니어,신입,수도권4년,산업경영공학과,3.4,790.0,Level6,,,,,,
157,2015년 상반기,(주)고영테크놀러지,시스템엔지니어,신입,서울4년,기계공학과,3.5,780.0,,,,1.0,,,
158,2017년 상반기,(주)골든듀,영업지원,신입,서울4년,법,3.59,870.0,,IH,1.0,1.0,,,1.0
159,2022년 상반기,(주)국순당,구매관리자,신입,수도권4년,국제학과,3.51,980.0,,AL,2.0,1.0,,1.0,1.0
160,2015년 하반기,(주)국순당,제품영업,신입,수도권4년,사학과,3.2,,,,1.0,3.0,,,
161,2020년 하반기,(주)그린웹서비스,그래픽디자이너,신입,서울4년,시각디자인학과,3.2,,,,2.0,,,,
162,2015년 하반기,(주)글락소스미스클라인,경영·비즈니스기획,인턴,수도권4년,경제학과,3.8,850.0,,,,,,,
163,2016년 하반기,(주)금강,시스템엔지니어,신입,수도권4년,정보통신공학,3.68,845.0,Level6,,,2.0,1.0,,
164,2015년 하반기,(주)금복주,제품영업,신입,지방4년,경영학과,3.7,825.0,,,1.0,1.0,1.0,1.0,
165,2017년 상반기,(주)남양인터내셔날,앱개발자,신입,수도권4년,컴공,3.13,,,,1.0,,3.0,,1.0
166,2022년 하반기,(주)네오위즈,게임개발자,인턴,서울4년,스포츠산업학과,3.93,880.0,,,3.0,2.0,,,
167,2016년 상반기,(주)네오위즈,경영·비즈니스기획,신입,지방4년,경영학부,3.5,,,,,,,,
168,2015년 상반기,(주)네오위즈,설문·리서치,신입,서울4년,통계학,3.6,865.0,Level7,,1.0,,,,
169,2016년 상반기,(주)네오위즈홀딩스,경영·비즈니스기획,신입,서울4년,소비자주거학과,3.8,,,,1.0,1.0,,,
170,2022년 상반기,(주)네오플,경영·비즈니스기획,신입,서울4년,언론홍보학과,3.42,860.0,,,3.0,2.0,2.0,,
171,2021년 상반기,(주)네패스,품질관리자,인턴,지방4년,광시스템공학과,3.79,,Level7,,1.0,2.0,,,1.0
172,2020년 상반기,(주)네패스,품질관리자,신입,수도권4년,응용화학생명공학과,3.84,855.0,,IH,2.0,3.0,3.0,1.0,1.0
173,2017년 하반기,(주)네패스,시스템엔지니어,신입,수도권4년,산업경영공학과,3.4,790.0,Level6,,,,,,
174,2016년 상반기,(주)네패스,반도체엔지니어,신입,지방4년,환경공학과,3.3,800.0,,,,2.0,,,
175,2016년 상반기,(주)네패스,화학엔지니어,신입,수도권4년,화학공학과,3.8,,,IL,,1.0,,,
176,2021년 상반기,(주)넥센,품질관리자,신입,수도권4년,화학과,4.09,930.0,,IH,,1.0,1.0,,
177,2021년 상반기,(주)넥센,화학엔지니어,신입,대학원,재료공학과,4.31,805.0,Level5,,1.0,,,,1.0
178,2022년 하반기,(주)넥슨네트웍스,게임개발자,인턴,서울4년,스포츠산업학과,3.93,880.0,,,3.0,2.0,,,
179,2021년 하반기,(주)넥슨네트웍스,인사담당자,신입,서울4년,국제통상학전공,3.39,,Level5,,2.0,4.0,,1.0,1.0
180,2019년 상반기,(주)넥슨네트웍스,QA,신입,서울4년,융합공학부,3.04,945.0,,,1.0,2.0,2.0,,
181,2018년 하반기,(주)넥슨네트웍스,QA,신입,서울4년,정보통신공학과,2.92,,,,,3.0,,2.0,
182,2018년 상반기,(주)넥슨네트웍스,QA,신입,지방4년,소프트웨어학과,3.2,,,IM1,,2.0,,,
183,2017년 하반기,(주)넥슨네트웍스,QA,인턴,초대졸,소프트웨어정보과,3.67,,,,1.0,3.0,,,
184,2016년 상반기,(주)넥슨네트웍스,QA,인턴,지방4년,행정학,3.67,815.0,,,1.0,5.0,1.0,1.0,
185,2015년 하반기,(주)넥슨네트웍스,QA,인턴,수도권4년,컴퓨터공학부,3.6,,,,,,,,
186,2015년 하반기,(주)넥슨네트웍스,QA,인턴,수도권4년,컴퓨터공학,3.4,885.0,,,1.0,1.0,,,
187,2015년 하반기,(주)넥슨코리아,시스템엔지니어,신입,대졸4년,컴퓨터공학,3.01,840.0,,IH,,1.0,,,
188,2016년 하반기,(주)넥슨코리아,웹개발자,신입,지방4년,컴퓨터공학과,3.75,,,IM2,,,,,
189,2016년 상반기,(주)넥슨코리아,앱개발자,신입,지방4년,컴퓨터공학,4.05,730.0,,IM2,,3.0,2.0,1.0,
190,2016년 상반기,(주)넥슨코리아,앱개발자,신입,서울4년,컴퓨터공학과,2.7,,,,1.0,,,2.0,
191,2015년 하반기,(주)넥슨코리아,앱개발자,신입,지방4년,컴퓨터소프트웨어공학전공,3.9,,,IL,,,,,
192,2015년 하반기,(주)넥슨코리아,시스템엔지니어,신입,해외대학,소프트웨어공학과,3.6,,,,,1.0,,,
193,2015년 하반기,(주)넥슨코리아,앱개발자,신입,수도권4년,컴퓨터공학,3.4,885.0,,,1.0,1.0,,,
194,2022년 하반기,(주)녹십자,품질관리자,신입,초대졸,전자공학과,3.95,,,,,4.0,,,
195,2017년 상반기,(주)녹십자,품질관리자,신입,수도권4년,산업경영공학과,3.77,,,IM2,,,,,
196,2017년 상반기,(주)녹십자,화학엔지니어,신입,대학원,생물공학,4.29,695.0,,IL,,,3.0,3.0,
197,2017년 상반기,(주)녹십자,생산직종사자,신입,초대졸,신재생전기계열,4.09,,,,,3.0,1.0,3.0,
198,2016년 하반기,(주)녹십자,제품영업,신입,대졸4년,행정학부,3.9,960.0,,,2.0,,,1.0,2.0
199,2021년 하반기,(주)농협목우촌,전기기사,신입,지방4년,신소재 공학,3.5,825.0,Level6,,1.0,4.0,,,
200,2016년 하반기,(주)농협물류,자재관리자,신입,서울4년,도시공학과/국제물류학과,4.2,870.0,Level6,,,2.0,,,
201,2016년 하반기,(주)농협정보시스템,시스템엔지니어,신입,수도권4년,정보통신전자공,4.02,810.0,Level6,,1.0,3.0,,,
202,2017년 하반기,(주)농협하나로유통,제품영업,신입,수도권4년,경제학과,3.02,845.0,,IM2,1.0,3.0,,1.0,2.0
203,2017년 하반기,(주)농협하나로유통,경영·비즈니스기획,신입,서울4년,국어국문,3.5,,,AL,,,,,
204,2016년 상반기,(주)니프코코리아,설계엔지니어,신입,지방4년,기계공학과,3.9,810.0,Level6,,,,2.0,1.0,
205,2019년 하반기,(주)대구은행,금융영업,신입,서울4년,영어영문학,3.92,980.0,Level7,,,1.0,,,1.0
206,2016년 상반기,(주)대구은행,제품영업,신입,고졸,,,,,,,,,,
207,2019년 상반기,(주)대동,재무담당자,신입,지방4년,국제무역학과,3.97,960.0,Level7,IH,1.0,3.0,1.0,1.0,3.0
208,2017년 상반기,(주)대동,IT·기술영업,인턴,수도권4년,메카트로닉스공학과,3.43,,,IL,2.0,3.0,,1.0,
209,2018년 하반기,(주)대림,해외영업,신입,수도권4년,e-비즈니스과,4.0,990.0,,AL,,,,,
210,2018년 하반기,(주)대림,영업지원,신입,서울4년,유기나노시스템공학과,3.77,955.0,Level6,,1.0,1.0,1.0,,1.0
211,2017년 하반기,(주)대림,무역사무원,신입,서울4년,화공생명공학,2.4,875.0,,IM2,,1.0,,,
212,2016년 하반기,(주)대림,해외영업,신입,해외대학,사회,3.41,,,IH,1.0,,,,
213,2016년 하반기,(주)대림,자재관리자,신입,서울4년,영어교육학과,3.9,980.0,,IH,,1.0,,,
214,2016년 상반기,(주)대림,인사담당자,신입,서울4년,국어교육과,3.6,915.0,Level6,,,,,2.0,
215,2016년 상반기,(주)대명스테이션,온라인마케터,인턴,수도권4년,중국언어문화학,4.2,845.0,,,,1.0,,,
216,2022년 하반기,(주)대웅제약,품질관리자,인턴,서울4년,생명과학부,4.05,,,IH,,,,,
217,2018년 상반기,(주)대웅제약,품질관리자,신입,지방4년,응용화학공학과,3.45,855.0,,IM2,1.0,3.0,,1.0,1.0
218,2018년 하반기,(주)대웅제약,품질관리자,신입,지방4년,응용화학공학과,3.45,855.0,,IM2,1.0,3.0,,1.0,1.0
219,2017년 상반기,(주)대웅제약,품질관리자,인턴,수도권4년,산업경영공학과,3.77,,,IM2,,,,,
