Combination: ('년도 및 분기',)
년도 및 분기,count
2022년 상반기,영업지원,13
2015년 상반기,재무담당자,13
2019년 상반기,영업지원,13
2015년 상반기,화학엔지니어,13
2015년 상반기,시스템엔지니어,12
2022년 상반기,인사담당자,12
2017년 하반기,시스템엔지니어,12
2016년 하반기,회계담당자,12
2018년 하반기,자재관리자,12
2021년 하반기,전기기사,12
2019년 상반기,금융영업,12
2020년 하반기,금융영업,11
2017년 상반기,회계담당자,11
2017년 상반기,화학엔지니어,11
2021년 하반기,영업지원,11
2018년 하반기,기계엔지니어,11
2018년 하반기,반도체엔지니어,11
2021년 하반기,재무담당자,11
2017년 상반기,자재관리자,11
2016년 상반기,시설관리자,11
2018년 하반기,금융영업,11
2023년 상반기,재무담당자,11
2022년 상반기,재무담당자,11
2015년 하반기,반도체엔지니어,11
2016년 상반기,IT·기술영업,11
2020년 상반기,영업지원,11
2020년 상반기,제품영업,10
2022년 하반기,반도체엔지니어,10
2019년 하반기,생산직종사자,10
2021년 하반기,바이오·제약연구원,10
2014년 하반기,품질관리자,10
2015년 하반기,시설관리자,10
2016년 하반기,건축기사,10
2023년 상반기,영업관리,10
2015년 상반기,구매관리자,10
2022년 하반기,생산직종사자,10
2022년 하반기,사무담당자,10
2017년 상반기,기술·전문강사,9
2019년 하반기,온라인마케터,9
2019년 상반기,화학엔지니어,9
2016년 하반기,MD,9
2018년 상반기,기계엔지니어,9
2017년 하반기,건축기사,9
2017년 하반기,화학엔지니어,9
2016년 상반기,기술·전문강사,9
2021년 하반기,웹개발자,9
2021년 상반기,화학엔지니어,9
2023년 상반기,인사담당자,9
2021년 상반기,전기·전자엔지니어,9
2016년 상반기,재무담당자,9
2017년 상반기,재무담당자,9
2017년 상반기,인사담당자,9
2023년 상반기,경영지원,9
2022년 상반기,온라인마케터,9
2015년 하반기,MD,9
2022년 상반기,제품영업,9
2018년 상반기,자재관리자,9
2016년 하반기,생산직종사자,8
2017년 하반기,해외영업,8
2020년 상반기,품질관리자,8
2020년 상반기,화학엔지니어,8
2021년 하반기,경영·비즈니스기획,8
2018년 하반기,바이오·제약연구원,8
2015년 하반기,구매관리자,8
2017년 하반기,네트워크엔지니어,8
2021년 하반기,반도체엔지니어,8
2023년 상반기,소프트웨어개발자,8
2023년 상반기,백엔드개발자,8
2017년 상반기,온라인마케터,8
2015년 하반기,건축기사,8
2018년 하반기,화학엔지니어,8
2018년 하반기,네트워크엔지니어,8
2016년 상반기,웹개발자,8
2018년 하반기,인사담당자,8
2021년 하반기,설계엔지니어,8
2018년 상반기,온라인마케터,8
2022년 상반기,웹개발자,8
2014년 하반기,앱개발자,8
2014년 하반기,영업지원,8
2017년 상반기,금융영업,8
2015년 상반기,MD,8
2021년 상반기,인사담당자,8
2019년 하반기,기계엔지니어,7
2016년 상반기,건축기사,7
2019년 상반기,해외영업,7
2015년 상반기,해외영업,7
2021년 하반기,인사담당자,7
2017년 하반기,생산직종사자,7
2019년 상반기,재무담당자,7
2015년 상반기,전기·전자엔지니어,7
2019년 상반기,전기기사,7
2022년 상반기,생산직종사자,7
2016년 하반기,재무담당자,7
2017년 상반기,시스템엔지니어,7
2015년 상반기,자재관리자,7
2019년 상반기,앱개발자,7
2022년 상반기,R&D·연구원,7
2022년 하반기,해외영업,7
2020년 하반기,품질관리자,7
2016년 상반기,현장관리자,7
2019년 상반기,온라인마케터,7
2021년 상반기,사무담당자,7
2015년 하반기,인바운드상담원,7
2015년 하반기,인사담당자,7
2018년 상반기,재무담당자,7
2018년 상반기,구매관리자,7
2016년 하반기,구매관리자,7
2018년 하반기,회계담당자,7
2017년 하반기,회계담당자,7
2019년 상반기,시스템엔지니어,7
2021년 상반기,회계담당자,7
2023년 상반기,설계엔지니어,7
2023년 상반기,R&D·연구원,6
2020년 하반기,전기·전자엔지니어,6
2020년 하반기,토목기사,6
2018년 하반기,전기기사,6
2020년 하반기,반도체엔지니어,6
2020년 상반기,전기·전자엔지니어,6
2021년 하반기,생산직종사자,6
2022년 상반기,해외영업,6
2021년 하반기,전기·전자엔지니어,6
2019년 하반기,반도체엔지니어,6
2022년 하반기,전기·전자엔지니어,6
2018년 하반기,호텔종사자,6
2017년 하반기,MD,6
2019년 하반기,회계담당자,6
2022년 하반기,R&D·연구원,6
2019년 상반기,환경기사,6
2019년 하반기,화학엔지니어,6
2017년 하반기,재무담당자,6
2019년 하반기,해외영업,6
2022년 하반기,생산·공정관리자,6
2017년 하반기,웹개발자,6
2022년 하반기,설계엔지니어,6
2021년 하반기,온라인마케터,6
2016년 하반기,매장관리자,6
2016년 하반기,사무보조,6
2016년 하반기,웹기획,6
2016년 하반기,기술·전문강사,6
2023년 상반기,제품영업,6
2015년 상반기,건축기사,6
2015년 상반기,인사담당자,6
2017년 상반기,생산직종사자,6
2015년 상반기,생산직종사자,6
2015년 상반기,반도체엔지니어,6
2016년 하반기,IT·기술영업,6
2020년 상반기,기계엔지니어,5
2021년 상반기,전기기사,5
2023년 상반기,물류관리자,5
2022년 하반기,설비엔지니어,5
2016년 상반기,매장관리자,5
2016년 하반기,설문·리서치,5
2019년 상반기,반도체엔지니어,5
2018년 상반기,화학엔지니어,5
2017년 하반기,인사담당자,5
2016년 상반기,사무보조,5
2021년 상반기,해외영업,5
2016년 하반기,시설관리자,5
2015년 하반기,매장관리자,5
2016년 상반기,구매관리자,5
2022년 상반기,설치·수리기사,5
2021년 상반기,영업지원,5
2021년 상반기,R&D·연구원,5
2019년 상반기,인사담당자,5
2015년 상반기,웹개발자,5
2022년 하반기,영업지원,5
2018년 상반기,머신러닝엔지니어,5
2020년 상반기,머신러닝엔지니어,5
2023년 상반기,인바운드상담원,5
2020년 상반기,사무보조,5
2016년 상반기,통신엔지니어,5
2022년 하반기,재무담당자,5
2018년 상반기,시스템엔지니어,5
2019년 상반기,네트워크엔지니어,5
2018년 상반기,앱개발자,5
2020년 하반기,웹개발자,5
2022년 하반기,백엔드개발자,5
2015년 하반기,현장관리자,5
2017년 하반기,IT·기술영업,5
2017년 상반기,건축기사,5
2021년 하반기,백엔드개발자,5
2021년 하반기,제품영업,5
2017년 하반기,구매관리자,5
2018년 하반기,온라인마케터,5
2017년 하반기,기계엔지니어,5
2023년 상반기,현장관리자,5
2019년 하반기,시스템엔지니어,5
2015년 하반기,재무담당자,5
2022년 상반기,자재관리자,5
2017년 상반기,사무보조,5
2023년 상반기,기계엔지니어,5
2019년 상반기,MD,5
2022년 상반기,백엔드개발자,5
2021년 하반기,R&D·연구원,5

Combination: ('회사명', '학력')
회사명,학력,count
삼성전자㈜,서울4년,69
GS리테일,서울4년,54
엘지전자㈜,서울4년,44
삼성전자㈜,수도권4년,42
삼성전자㈜,지방4년,39
GS리테일,수도권4년,31
GS리테일,지방4년,31
CJ제일제당(주),서울4년,29
현대자동차㈜,서울4년,29
현대모비스㈜,서울4년,28
㈜KT,서울4년,27
SK하이닉스(주),서울4년,22
씨제이올리브네트웍스㈜,서울4년,21
한국전력공사,서울4년,20
대한항공,서울4년,19
SK하이닉스(주),수도권4년,19
삼성전자㈜,대학원,19
SK하이닉스(주),지방4년,18
㈜BGF리테일,서울4년,18
현대오토에버㈜,서울4년,18
㈜KT,지방4년,17
NH농협은행,지방4년,17
한국전력공사,지방4년,17
삼성전자㈜,고졸,17
한샘,서울4년,17
(주)LG화학,서울4년,16
현대글로비스(주),서울4년,16
중소기업은행,서울4년,15
㈜효성,서울4년,15
현대자동차㈜,지방4년,15
㈜CJ ENM,서울4년,15
현대자동차㈜,수도권4년,15
CJ대한통운(주),지방4년,15
CJ제일제당(주),지방4년,15
한국수자원공사,서울4년,15
국민건강보험공단,지방4년,14
㈜우리은행,서울4년,14
한국중부발전(주),지방4년,14
한국지역난방공사,고졸,14
현대카드,서울4년,14
SK텔레콤,서울4년,14
현대제철주식회사,서울4년,14
현대오일뱅크(주),서울4년,14
한국철도공사,서울4년,13
기아㈜,서울4년,13
신한은행,서울4년,13
롯데IT테크(주),서울4년,13
근로복지공단,지방4년,13
(주)아모레퍼시픽,서울4년,12
엘지전자㈜,수도권4년,12
한국철도공사,지방4년,12
한국토지주택공사,지방4년,12
엘지디스플레이,서울4년,12
대한항공,수도권4년,12
CJ 프레시웨이,서울4년,12
KCC,서울4년,11
한국토지주택공사,서울4년,11
SK C&C,서울4년,11
한화생명보험㈜,서울4년,11
한전KPS(주),고졸,11
한국산업인력공단,지방4년,10
현대글로비스(주),수도권4년,10
포스코홀딩스,고졸,10
(주)서브원,서울4년,10
CJ대한통운(주),서울4년,10
포스코홀딩스,지방4년,10
씨제이올리브네트웍스㈜,수도권4년,10
코리아세븐,서울4년,10
현대제철주식회사,지방4년,10
엘지디스플레이,지방4년,10
CJ제일제당(주),수도권4년,10
한국철도공사,수도권4년,10
SK하이닉스(주),대학원,10
한샘,지방4년,10
한국가스공사,서울4년,10
현대모비스㈜,지방4년,9
엘지디스플레이,수도권4년,9
엘지전자㈜,지방4년,9
한국전력공사,고졸,9
기아㈜,수도권4년,9
현대위아(주),서울4년,9
NH농협은행,서울4년,9
현대트랜시스,지방4년,9
한화S&C㈜,서울4년,9
에이치디한국조선해양㈜,지방4년,9
한국타이어앤테크놀로지(주),서울4년,9
한국동서발전(주),지방4년,9
㈜BGF리테일,수도권4년,9
한국가스공사,지방4년,9
현대트랜시스,서울4년,9
에프알엘코리아,서울4년,9
삼성화재해상보험,서울4년,9
㈜KT,수도권4년,9
(주)신세계,서울4년,8
GS칼텍스(주),서울4년,8
삼성디스플레이(주),서울4년,8
(주)삼양홀딩스,서울4년,8
쿠팡(주),서울4년,8
(주)오뚜기,서울4년,8
엔에이치엔(주),서울4년,8
한국수자원공사,지방4년,8
㈜국민은행,서울4년,8
CJ CGV(주),서울4년,8
(주)동원F&B,지방4년,8
한국중부발전(주),서울4년,8
롯데슈퍼,서울4년,8
포스코홀딩스,서울4년,8
한국가스공사,고졸,8
(주)한진,서울4년,8
인천국제공항공사,지방4년,8
국민건강보험공단,고졸,8
(주)LG화학,수도권4년,8
넷마블(주),서울4년,8
현대모비스㈜,수도권4년,7
한국철도공사,고졸,7
서울교통공사,서울4년,7
NH농협은행,수도권4년,7
E1,서울4년,7
빙그레,서울4년,7
㈜BGF리테일,지방4년,7
비씨카드(주),서울4년,7
엘지전자㈜,대학원,7
서울주택도시공사,서울4년,7
(주)이랜드리테일,서울4년,7
도로교통공단,지방4년,7
한국수력원자력(주),지방4년,7
씨제이푸드빌,서울4년,7
현대엔지니어링(주),서울4년,7
한국동서발전(주),서울4년,7
현대백화점,서울4년,7
엔에이치엔(주),수도권4년,7
한화시스템(주),서울4년,7
㈜CJ ENM,수도권4년,7
㈜KT,대학원,7
한국산업인력공단,서울4년,7
(주)퍼시스,서울4년,7
현대트랜시스,수도권4년,7
LG CNS,서울4년,7
현대위아(주),지방4년,7
삼성화재해상보험,고졸,7
롯데IT테크(주),수도권4년,7
쿠팡(주),수도권4년,7
한국지역난방공사,서울4년,6
에스피씨㈜,서울4년,6
(주)엔씨소프트,서울4년,6
한국주택금융공사,서울4년,6
현대코퍼레이션(주),서울4년,6
주식회사 경신,수도권4년,6
한국아이비엠(주),서울4년,6
한화솔루션㈜,서울4년,6
삼성중공업(주),지방4년,6
한국가스공사,대학원,6
한국동서발전(주),고졸,6
CJ E&M㈜,서울4년,6
(주)LG화학,지방4년,6
한국서부발전(주),지방4년,6
중소기업은행,수도권4년,6
㈜GS홈쇼핑,서울4년,6
(주)LG생활건강,서울4년,6
한전KPS(주),서울4년,6
㈜효성,지방4년,6
서울시설공단,고졸,6
SK텔레콤,수도권4년,6
세메스(주),서울4년,6
한국중부발전(주),고졸,6
한국전력공사,수도권4년,6
한국서부발전(주),서울4년,6
(주)한진,수도권4년,6
한국서부발전(주),고졸,6
(주)해커스어학원,서울4년,6
현대오토에버㈜,수도권4년,6
한국투자증권(주),서울4년,6
LG 이노텍,서울4년,6
네이버,서울4년,6
SK이노베이션(주),서울4년,6
한국산업기술진흥원,서울4년,6
NH농협은행,대학원,6
롯데칠성음료(주),서울4년,6
삼성생명보험㈜,서울4년,6
롯데칠성음료(주),지방4년,6
국민연금공단,지방4년,6
이랜드월드,서울4년,6
SK네트웍스(주),서울4년,6
SK브로드밴드(주),서울4년,6
한국남동발전(주),지방4년,5
근로복지공단,고졸,5
㈜IBK캐피탈,서울4년,5
(주)포스코이앤씨,서울4년,5
세메스(주),지방4년,5
DB손해보험㈜,서울4년,5
교보생명,서울4년,5
세방(주),서울4년,5
한세실업㈜,서울4년,5
대림산업㈜,서울4년,5
SK텔레콤,지방4년,5
한국타이어앤테크놀로지(주),지방4년,5
한국타이어앤테크놀로지(주),수도권4년,5
(주)케이티디에스,서울4년,5
한국남부발전(주),지방4년,5
네이버,지방4년,5
롯데쇼핑(주),서울4년,5
LF,서울4년,5
한미약품(주),대학원,5
국민건강보험공단,수도권4년,5
삼성물산(주),서울4년,5
(주)이마트에브리데이,지방4년,5
(주)LG생활건강,수도권4년,5
S-OIL,서울4년,5
고려해운(주),서울4년,5
(주)아트박스,서울4년,5
수산업협동조합중앙회,지방4년,5
(주)DB하이텍,서울4년,5
한국동서발전(주),수도권4년,5
㈜효성,수도권4년,5
LX Pantos,서울4년,5
에이치케이이노엔(주),수도권4년,5
삼성전자㈜,대졸4년,5
아시아나항공(주),서울4년,5
한국서부발전(주),수도권4년,5
새마을금고중앙회,수도권4년,5
㈜티맥스소프트,수도권4년,5
엔에이치엔(주),지방4년,5
라인플러스(주),서울4년,5
금호석유화학(주),수도권4년,5
엔테크서비스(주),지방4년,5
(주)한진,지방4년,5
현대건설(주),서울4년,5
서울보증보험(주),서울4년,5
대한항공,지방4년,5
새마을금고중앙회,서울4년,5
샘표식품㈜,대학원,5
롯데IT테크(주),지방4년,5
현대종합금속(주),서울4년,5
두산에너빌리티(주),지방4년,5
두산에너빌리티(주),서울4년,5
코리아세븐,지방4년,5
㈜엔에스쇼핑,서울4년,5
㈜우리은행,지방4년,5
한국자산관리공사,서울4년,5
오비맥주(주),서울4년,5
(주)대웅제약,지방4년,5
㈜마이다스아이티,서울4년,5
한국예탁결제원,서울4년,5
예금보험공사,고졸,5
CJ대한통운(주),수도권4년,5
㈜대우건설,서울4년,5
㈜인바디,서울4년,5

Combination: ('회사명', '과')
회사명,과,count
삼성전자㈜,0,17
한국지역난방공사,0,14
삼성전자㈜,전자공학과,13
삼성전자㈜,기계공학과,12
한전KPS(주),0,11
현대자동차㈜,기계공학과,10
포스코홀딩스,0,10
삼성전자㈜,컴퓨터공학과,10
GS리테일,경영학과,9
한국전력공사,0,9
국민건강보험공단,0,8
한국가스공사,0,8
엘지전자㈜,기계공학과,8
한국철도공사,0,7
삼성화재해상보험,0,7
SK C&C,컴퓨터공학과,7
SK하이닉스(주),전자공학과,7
현대모비스㈜,기계공학과,7
GS리테일,경영학부,7
한국동서발전(주),0,6
SK하이닉스(주),화학공학,6
한국중부발전(주),0,6
삼성전자㈜,전자공학부,6
삼성전자㈜,전자공학,6
한국서부발전(주),0,6
GS리테일,경제학과,6
롯데IT테크(주),컴퓨터학부,6
삼성전자㈜,컴퓨터공학,6
현대제철주식회사,기계공학과,6
서울시설공단,0,6
현대오토에버㈜,컴퓨터공학부,5
한국중부발전(주),전자공학,5
근로복지공단,0,5
현대모비스㈜,경영학과,5
한국전력공사,전자공학,5
한국동서발전(주),전자공학,5
SK하이닉스(주),전자공학부,5
예금보험공사,0,5
롯데IT테크(주),컴퓨터공학과,5
(주)엔씨소프트,컴퓨터공학과,5
㈜BGF리테일,경영학과,5
현대자동차㈜,경영학과,5
네이버,컴퓨터공학과,5
한미약품(주),국제의료경영학과,5
삼성전자㈜,전기생체공학부,5

Combination: ('회사명', '지원 직종')
회사명,지원 직종,count
GS리테일,영업지원,66
삼성전자㈜,반도체엔지니어,60
SK하이닉스(주),반도체엔지니어,30
SK하이닉스(주),품질관리자,25
CJ대한통운(주),자재관리자,25
NH농협은행,금융영업,25
중소기업은행,금융영업,24
한국전력공사,사무담당자,23
한국철도공사,사무담당자,22
㈜BGF리테일,영업지원,22
GS리테일,제품영업,20
현대자동차㈜,기계엔지니어,20
CJ제일제당(주),품질관리자,20
한국전력공사,전기·전자엔지니어,20
삼성전자㈜,생산직종사자,20
삼성전자㈜,품질관리자,19
국민건강보험공단,사무담당자,18
삼성전자㈜,앱개발자,17
㈜우리은행,금융영업,15
한국산업인력공단,사무담당자,15
삼성전자㈜,전기·전자엔지니어,15
GS리테일,자재관리자,15
신한은행,금융영업,15
현대글로비스(주),자재관리자,15
포스코홀딩스,품질관리자,15
(주)한진,자재관리자,14
한국중부발전(주),전기·전자엔지니어,14
㈜국민은행,금융영업,14
현대자동차㈜,품질관리자,14
롯데IT테크(주),앱개발자,14
엘지전자㈜,전기·전자엔지니어,13
한국토지주택공사,사무담당자,13
씨제이올리브네트웍스㈜,앱개발자,13
현대모비스㈜,기계엔지니어,13
엘지디스플레이,반도체엔지니어,12
CJ제일제당(주),제품영업,12
코리아세븐,영업지원,12
(주)LG화학,품질관리자,12
삼성전자㈜,시스템엔지니어,12
㈜KT,영업지원,12
근로복지공단,사무담당자,12
서울교통공사,사무담당자,11
엘지디스플레이,품질관리자,11
건강보험심사평가원,사무담당자,11
엔에이치엔(주),앱개발자,11
현대카드,경영·비즈니스기획,11
새마을금고중앙회,금융영업,11
현대모비스㈜,품질관리자,10
넷마블(주),앱개발자,10
㈜KT,네트워크엔지니어,10
한국동서발전(주),전기·전자엔지니어,10
SK C&C,앱개발자,10
CJ제일제당(주),영업지원,10
현대트랜시스,기계엔지니어,10
한국수자원공사,사무담당자,10
한샘,제품영업,10
한국타이어앤테크놀로지(주),기계엔지니어,9
삼성디스플레이(주),반도체엔지니어,9
한전KPS(주),전기·전자엔지니어,9
㈜효성,품질관리자,9
현대제철주식회사,품질관리자,9
㈜BGF리테일,제품영업,9
한국지역난방공사,전기·전자엔지니어,9
국민연금공단,사무담당자,9
삼성전자㈜,제품영업,9
한국서부발전(주),전기·전자엔지니어,9
네이버,앱개발자,8
한국산업기술진흥원,사무담당자,8
삼성화재해상보험,금융영업,8
현대위아(주),품질관리자,8
현대오토에버㈜,앱개발자,8
에프알엘코리아,영업지원,8
한국중부발전(주),사무담당자,8
현대트랜시스,품질관리자,8
한국가스공사,전기·전자엔지니어,8
쿠팡(주),웹개발자,8
SK텔레콤,온라인마케터,8
삼성바이오로직스(주),품질관리자,8
한국자산관리공사,사무담당자,7
(주)넥슨네트웍스,QA,7
기아㈜,품질관리자,7
NH농협은행,사무담당자,7
한국투자증권(주),금융영업,7
엘지전자㈜,설계엔지니어,7
삼성화재해상보험,영업지원,7
(주)LG화학,화학엔지니어,7
엔에이치엔(주),웹개발자,7
한샘,영업지원,7
한국철도공사,전기·전자엔지니어,7
동원로엑스(주),자재관리자,7
금호석유화학(주),품질관리자,7
한국가스공사,화학엔지니어,6
한국가스공사,사무담당자,6
(주)아모레퍼시픽,영업지원,6
예금보험공사,사무담당자,6
엘지전자㈜,앱개발자,6
엘지전자㈜,영업지원,6
롯데칠성음료(주),제품영업,6
㈜CJ ENM,MD,6
포스코홀딩스,생산직종사자,6
(주)대웅제약,품질관리자,6
한국남동발전(주),전기·전자엔지니어,6
현대오토에버㈜,시스템엔지니어,6
엘지전자㈜,제품영업,6
씨제이올리브네트웍스㈜,시스템엔지니어,6
쿠팡(주),앱개발자,6
현대오일뱅크(주),품질관리자,6
한화S&C㈜,앱개발자,6
한국수자원공사,전기·전자엔지니어,6
에이치디한국조선해양㈜,기계엔지니어,6
한국도로공사,사무담당자,6
현대코퍼레이션(주),해외영업,6
한세실업㈜,해외영업,6
삼성에스디에스,앱개발자,6
에이치케이이노엔(주),제품영업,6
한국동서발전(주),사무담당자,6
(주)이랜드리테일,영업지원,5
한국중부발전(주),기계엔지니어,5
(주)아모레퍼시픽,인사담당자,5
서울주택도시공사,사무담당자,5
도로교통공단,사무담당자,5
한국산업기술진흥원,경영·비즈니스기획,5
코스맥스비티아이(주),품질관리자,5
현대모비스㈜,재무담당자,5
SK이노베이션(주),화학엔지니어,5
삼성중공업(주),기계엔지니어,5
에이에스엠엘코리아(주),반도체엔지니어,5
현대종합금속(주),제품영업,5
한국수력원자력(주),사무담당자,5
한국토지주택공사,사무보조,5
엘지전자㈜,기계엔지니어,5
(주)동원F&B,영업지원,5
(주)동원F&B,제품영업,5
한국콜마홀딩스(주),품질관리자,5
한국지역난방공사,사무담당자,5
(주)LG생활건강,품질관리자,5
대한항공,전기·전자엔지니어,5
현대오일뱅크(주),사무담당자,5
한국산업인력공단,경영·비즈니스기획,5
삼성전자㈜,온라인마케터,5
기아㈜,기계엔지니어,5
롯데IT테크(주),웹개발자,5
㈜KT,제품영업,5
㈜엘지헬로비전,영업지원,5
네이버,웹개발자,5
㈜KT,온라인마케터,5
롯데슈퍼,영업지원,5
롯데하이마트(주),영업지원,5
현대제철주식회사,기계엔지니어,5
㈜GS글로벌,해외영업,5
㈜효성,해외영업,5
SK하이닉스(주),생산직종사자,5
삼성전자㈜,기술·전문강사,5
한국보훈복지의료공단,사무담당자,5
삼성SDI(주),품질관리자,5

Combination: ('학력', '과')
학력,과,count
고졸,0,252
서울4년,경영학과,179
서울4년,경영학부,84
수도권4년,경제학과,73
서울4년,경제학과,72
지방4년,경영학과,57
수도권4년,컴퓨터공학과,57
지방4년,기계공학과,56
서울4년,전기전자,55
서울4년,컴퓨터공학과,52
수도권4년,경영학과,48
서울4년,법,46
서울4년,기계공학과,44
지방4년,전자공학,43
서울4년,경제,43
지방4년,행정학과,42
서울4년,회계세무학과,42
수도권4년,기계공학과,41
수도권4년,산업경영공학과,41
지방4년,기계설계공학과,40
서울4년,컴퓨터공학부,40
서울4년,경영학,39
서울4년,행정학과,39
서울4년,경영,39
서울4년,영어영문학,38
수도권4년,전자공학과,36
서울4년,전기생체공학부,35
대학원,국제의료경영학과,35
서울4년,컴퓨터학부,35
대학원,중국어교육전공,33
수도권4년,전자공학,32
수도권4년,화학공학,32
지방4년,컴퓨터공학,31
서울4년,공공인재학부,31
지방4년,도시계획부동산,31
지방4년,컴퓨터학부,30
서울4년,경영계열,30
지방4년,컴퓨터공학과,30
대학원,경영학과,30
서울4년,전자공학과,30
지방4년,경영학부,29
수도권4년,컴퓨터공학부,29
서울4년,경제학부,29
서울4년,기계공학,28
서울4년,국제통상학과,28
지방4년,전자공학부,28
지방4년,경제학과,25
서울4년,컴퓨터공학,25
서울4년,응용통계학과,25
서울4년,영어교육학과,24
서울4년,법학과,24
서울4년,국어국문,24
대학원,반도체&디스플레이과학경영학과,23
수도권4년,화학공학과,23
지방4년,산업공학과,22
서울4년,산업시스템공학과,21
수도권4년,법학과,21
지방4년,노인복지보건,21
대졸4년,사회계열,20
대졸4년,무역학과,19
대학원,전자컴퓨터통신공,19
대학원,화학공학,19
지방4년,경제통상학부,19
대학원,기계공학과,19
수도권4년,관광경영,18
지방4년,고분자공학과,18
서울4년,법학,18
수도권4년,응용화학생명공학과,18
서울4년,국제물류학과,18
서울4년,중어중문학과,17
수도권4년,정보통신공학,17
서울4년,경영대학 경영학과,17
지방4년,전자공학과,17
수도권4년,산업경제학과,17
수도권4년,경영학과 마케팅경영전공,17
수도권4년,컴퓨터공학,17
지방4년,환경공학과,17
서울4년,글로벌경영,17
서울4년,영어영문학과,16
서울4년,기계공학부,16
지방4년,경제금융,15
서울4년,유기나노시스템공학과,15
대학원,전자공학과,15
수도권4년,정보통신전자공,15
서울4년,전자전기공학부,15
지방4년,사회복지학과,14
대학원,화공생명공학과,14
수도권4년,경영학부,14
서울4년,건축공학부,14
서울4년,환경공학과,14
서울4년,화공생명공학과,14
서울4년,한국사학과,14
서울4년,글로벌경영학과,14
지방4년,발명특허,14
지방4년,안전공학과,14
서울4년,식품생명공학과,14
서울4년,무역학과,14
수도권4년,중국언어문화학,13
서울4년,식품자원경제학,13
수도권4년,정보통신공학과,13
해외대학,Business Administration,13
서울4년,화학공학과,13
지방4년,기계공학,13
지방4년,화학공학부,13
서울4년,환경공학과/화학공학(복수전공),13
서울4년,언론홍보학과,13
대졸4년,소프트웨어공학과,12
서울4년,화학공학부,12
지방4년,수학과,12
수도권4년,기계과 기계시스템전공,12
대학원,컴퓨터공학과,12
서울4년,체육학과/경영학과,12
지방4년,컴퓨터공학부,12
서울4년,중어중문,12
서울4년,전자전기컴퓨터,12
서울4년,자동차IT융합학과,12
서울4년,도시공학과/국제물류학과,12
지방4년,경영학,12
지방4년,노인복지보건학과,12
초대졸,국제경영학,12
서울4년,광고홍보학과,12
서울4년,정보통신공학과,12
서울4년,전자IT미디어공학과,11
서울4년,신소재공학과,11
대학원,휴먼ICT융합학과,11
서울4년,식품영양학과,11
수도권4년,신소재 공학,11
서울4년,도시공,11
수도권4년,기계.금속교육전공,11
지방4년,신소재화학과,11
수도권4년,기계공학부,11
지방4년,무역학,11
서울4년,미디어학부,11
초대졸,국제경영학과,11
해외대학,상경학부,11
대학원,산업공학,11
대졸4년,컴퓨터공학,11
대학원,금융보험학과,11
서울4년,전기전자계열,10
서울4년,독어독문학과,10
서울4년,건축학과,10
서울4년,회계학과,10
지방4년,화학공학,10
서울4년,"무역학과,경영학과(복수전공)",10
수도권4년,산업환경보건학과,10
서울4년,역사콘텐츠학과,10
지방4년,경영,10
수도권4년,경영학,10
지방4년,섬유시스템공학과,10
지방4년,독어독문학과,10
서울4년,전기공학과,10
서울4년,금융경제,10
수도권4년,정보통신전자공학/모바일유비쿼터스융복합,10
지방4년,중어중문학과,9
서울4년,컴퓨터공학부 컴퓨터공학전공,9
서울4년,화학공학,9
서울4년,화공생명공학,9
지방4년,사학과,9
서울4년,정보통신전자공학부,9
서울4년,기계공/ 바이오융합기술,9
서울4년,경영정보,9
지방4년,조선해양공학과,9
서울4년,경영정보학과,9
서울4년,중국문화/경영,9
수도권4년,전기공학과,9
서울4년,통계학과,9
수도권4년,통계학,9
서울4년,화학공학/고분자공학부,9
대졸4년,인문학부,9
수도권4년,무역학부,9
대학원,재료공학과,9
수도권4년,기계로봇공학,9
지방4년,컴퓨터소프트웨어공학과,9
지방4년,컴퓨터소프트웨어공학전공,9
지방4년,컴퓨터공,9
서울4년,한문학과,9
수도권4년,e-비즈니스과,9
대졸4년,중국어과,8
서울4년,신문방송학과,8
서울4년,생명과학부,8
서울4년,전자재료공학과,8
대학원,전파정보통신공학과,8
서울4년,정보시스템,8
수도권4년,국제통상학과,8
서울4년,부동산학과,8
서울4년,건축공학과,8
지방4년,정보통신공학,8
서울4년,교육학과,8
대학원,사회학과,8
대학원,컴퓨터공학,8
지방4년,무역학과,8
서울4년,화학생명공학,8
수도권4년,화학공,8
대학원,신소재 공학,8
서울4년,응용통계,8
지방4년,메카트로닉스공학과,8
수도권4년,고분자시스템공학과,8
대졸4년,행정학부,8
수도권4년,경제,8
서울4년,일어일문학과,8
서울4년,경영학과_경영전공,8
서울4년,영문,7
지방4년,국제관계학과,7
지방4년,기계공학부,7
지방4년,물류시스템공학과,7
서울4년,영어영문,7
지방4년,IT응용공학과,7
서울4년,전기공학,7
서울4년,금융학과,7
서울4년,시각디자인학과,7
서울4년,융합기계공학전공,7
수도권4년,화학과,7
지방4년,기계설계,7
지방4년,경영정보학과,7
대학원,경영학부,7
지방4년,전기공학과,7
대학원,생물공학,7
수도권4년,전자통신공학과,7
대졸4년,역사,7
서울4년,정책학과,7
서울4년,컴퓨터과학부,7
서울4년,통계학,7
지방4년,인도네시아ㆍ말레이시아어과,7
수도권4년,식품영양학과,7
해외대학,신문학,7
지방4년,응용화학공학과,6
수도권4년,산업공학과,6
수도권4년,산업공학,6
서울4년,문화기획,6
서울4년,문화콘텐츠학과,6
수도권4년,생명화학공학과,6
수도권4년,건축공학과,6
