Combination: ('년도 및 분기',)
년도 및 분기,count
(주)스마일게이트엔터테인먼트,6
(주)이랜드건설,6
한화호텔앤드리조트㈜,6
(주)이마트에브리데이,6
서울보증보험(주),6
(주)이스트소프트,6
코오롱글로벌,6
한국환경공단,6
롯데마트,6
현대엘리베이터(주),6
한전KDN,6
(주)SBS,6
㈜위메프,5
㈜엔에스쇼핑,5
(주)호텔신라,5
한국국토정보공사,5
경기주택도시공사,5
한국로버트보쉬㈜,5
LG에너지솔루션,5
SK에코플랜트㈜,5
코오롱인더스트리㈜,5
코오롱생명과학(주),5
광동제약㈜,5
한국산업단지공단,5
㈜ 커피빈코리아,5
한국산업기술기획평가원,5
㈜GS글로벌,5
㈜KB데이타시스템,5
㈜지마켓,5
국가철도공단,5
한국부동산원,5
㈜하나금융티아이,5
㈜농심,5
㈜포스코,5
㈜티웨이항공,5
㈜케이티알파,5
㈜커넥트웨이브,5
대원제약(주),5
하나카드(주),5
㈜에치와이,5
(주)슈피겐코리아,5
주택도시보증공사,5
중소기업중앙회,5
우리에프아이에스㈜,5
현대파워텍(주),5
현대해상화재보험㈜,5
애경산업(주),5
두산건설(주),5
(주)코리아써키트,5
에스케이실트론(주),5
한국전자통신연구원,5
동서식품,5
(주)녹십자,5
도쿄일렉트론코리아(주),5
롯데푸드㈜,5
(주)한글과컴퓨터,5
(주)LG생명과학,5
이랜드월드패션사업부,5
일성신약,5
미원상사㈜,5
서울아산병원,5
현대중공업,5
(주)네패스,5
(주)아이마켓코리아,5
삼성웰스토리㈜,5
르노삼성자동차㈜,5
(주)KB손해사정,5

Combination: ('학력',)
학력,count
서울4년,2479
지방4년,1303
수도권4년,1068
대학원,447
고졸,252
대졸4년,216
초대졸,108
해외대학,79

Combination: ('과',)
과,count
경영학과,316
0,252
경제학과,175
기계공학과,161
컴퓨터공학과,153
경영학부,135
전자공학과,99
컴퓨터공학,92
행정학과,87
전자공학,83
컴퓨터공학부,82
화학공학,72
컴퓨터학부,72
경영학,64
전기전자,59
경제,57
경영,55
산업경영공학과,50
기계공학,49
법학과,48
법,46
무역학과,45
화학공학과,45
국제통상학과,43
회계세무학과,42
기계설계공학과,42
영어영문학,39
환경공학과,39
국제의료경영학과,39
응용통계학과,37
기계공학부,35
전기생체공학부,35
중국어교육전공,33
전기공학과,32
도시계획부동산,32
산업공학과,32
전자공학부,32
경영계열,31
공공인재학부,31
경제학부,31
중어중문학과,30
화공생명공학과,28
정보통신공학,28
산업공학,27
고분자공학과,27
정보통신공학과,26
영어교육학과,25
화학공학부,25
국어국문,24
식품영양학과,24
반도체&디스플레이과학경영학과,23
산업시스템공학과,23
사회계열,23
식품생명공학과,23
신소재 공학,23
노인복지보건,22
소프트웨어공학과,21
영어영문학과,21
독어독문학과,20
경제통상학부,20
유기나노시스템공학과,20
수학과,20
전자컴퓨터통신공,19
법학,19
경영대학 경영학과,19
응용화학생명공학과,18
글로벌경영학과,18
국제물류학과,18
관광경영,18
한문학과,17
산업경제학과,17
건축공학과,17
글로벌경영,17
경영학과 마케팅경영전공,17
경영정보학과,17
사회복지학과,16
신소재공학과,16
전자전기공학부,16
통계학,16
광고홍보학과,16
국제경영학과,16
중어중문,15
메카트로닉스공학과,15
경제금융,15
안전공학과,15
사학과,15
정보통신전자공,15
전기공학,14
한국사학과,14
발명특허,14
화학과,14
신문방송학과,14
경영정보,14
건축공학부,14
언론홍보학과,13
국제경영학,13
회계학과,13
Business Administration,13
환경공학과/화학공학(복수전공),13
식품자원경제학,13
사회학과,13
건축학과,13
컴퓨터소프트웨어공학과,13
통계학과,13
중국언어문화학,13
신문방송학,12
자동차IT융합학과,12
도시공학과/국제물류학과,12
체육학과/경영학과,12
노인복지보건학과,12
전자전기컴퓨터,12
기계과 기계시스템전공,12
금융보험학과,11
기계.금속교육전공,11
컴퓨터공,11
무역학,11
미디어학부,11
상경학부,11
전자IT미디어공학과,11
도시공,11
정보통신전자공학/모바일유비쿼터스융복합,11
신소재화학과,11
행정학,11
휴먼ICT융합학과,11
물리학과,10
무역학부,10
섬유시스템공학과,10
역사콘텐츠학과,10
전기전자계열,10
금융경제,10
"무역학과,경영학과(복수전공)",10
산업환경보건학과,10
신소재공학,10
조선해양공학과,10
전자공학전공,10
인문학부,9
역사,9
화학공학/고분자공학부,9
중국문화/경영,9
정보통계학과,9
컴퓨터공학부 컴퓨터공학전공,9
정보통신전자공학부,9
기계공/ 바이오융합기술,9
중국어과,9
기계로봇공학,9
